208_224,0.557
208_226,-1.159
208_227,6.1
208_229,-2.669
208_230,-0.543
208_231,-6.845
208_232,-1.533
208_233,0.006
208_234,10.322
208_235,-7.451
208_236,0.354
208_237,-2.535
208_238,2.204
208_239,-0.299
208_240,-5.327
209_221,-7.002
209_222,1.852
209_223,-7.694
209_224,3.685
209_226,15.221
209_227,0.035
209_229,-1.198
209_230,-2.999
209_231,-0.327
209_232,-2.208
209_233,-4.226
209_234,-0.498
209_235,-1.88
209_236,-12.653
209_237,6.418
209_238,1.12
209_239,-2.902
209_240,-3.695
210_231,0.075
210_232,-5.369
210_233,0.549
210_234,13.225
210_235,-0.689
210_236,0.331
210_237,0.182
210_238,-1.673
210_239,-0.112
211_221,-1.84
211_222,0.707
211_223,-9.339
211_224,0.948
211_226,2.196
211_227,-0.831
211_229,-2.714
211_230,-0.73
211_231,-1.825
211_232,-0.194
211_233,-9.51
211_234,-20.669
211_235,-1.438
211_236,19.403
211_237,3.004
211_238,3.29
211_239,7.067
211_240,-1.114
212_221,-5.874
212_222,-0.781
212_223,-7.038
212_224,1.195
212_226,0.797
212_227,2.794
212_229,0.504
212_230,4.301
212_231,-6.446
212_232,3.082
212_233,-0.296
212_234,5.559
212_235,-1.152
212_236,19.736
212_237,1.842
212_238,-10.013
212_239,-2.815
212_240,-1.272
213_222,1.887
213_223,-0.188
213_224,-3.096
213_226,9.432
213_227,-1.383
213_229,0.101
213_230,-1.378
213_231,-2.055
213_232,3.817
213_234,-7.728
213_235,14.39
213_236,0.165
213_237,0.228
213_238,-3.52
213_239,1.476
213_240,-6.637
214_222,-4.638
214_223,-3.165
214_224,0.517
214_226,12.188
214_227,-0.516
214_229,-3.768
214_230,-0.909
214_231,-2.84
214_232,-4.933
214_234,-5.133
214_235,-12.253
214_236,18.083
214_237,-3.866
214_238,-5.551
214_239,-1.548
214_240,-28.279
215_222,-12.293
215_223,-3.886
215_224,3.594
215_226,-4.647
215_227,1.773
215_229,-2.394
215_230,-21.065
215_231,9.449
215_232,3.38
215_234,26.313
215_235,-0.849
215_236,-7.085
215_237,-7.924
215_238,0.076
215_239,-3.785
215_240,15.844
217_221,-2.249
217_222,-9.049
217_223,-0.878
217_224,-0.566
217_226,-5.289
217_227,0.743
217_229,-3.586
217_230,5.156
217_231,18.223
217_232,-1.482
217_234,-0.776
217_235,-46.008
217_236,-2.46
217_237,-1.425
217_238,-4.128
217_239,0.239
217_240,0.642
218_221,-4.595
218_222,-3.658
218_223,-3.046
218_224,-2.377
218_226,5.536
218_227,-1.808
218_229,-0.529
218_230,9.418
218_231,-0.763
218_232,-14.707
